,conv1 filters,conv2 filters,conv3 filters,accuracy,runtime
161,26,26,126,59.72222222222222,7.406103610992432
162,26,26,151,58.68055555555556,6.808242082595825
163,26,26,176,57.638888888888886,9.6600980758667
164,26,26,201,59.375,7.563800096511841
165,26,26,226,46.52777777777778,5.869121789932251
166,26,26,251,61.80555555555556,9.689196825027466
167,26,26,276,62.15277777777778,9.723819017410278
168,26,51,1,51.041666666666664,6.821371793746948
169,26,51,26,55.90277777777778,5.473377227783203
170,26,51,51,56.94444444444444,6.763034105300903
171,26,51,76,53.47222222222222,7.3470118045806885
172,26,51,101,56.94444444444444,5.750200271606445
173,26,51,126,61.111111111111114,5.480276107788086
174,26,51,151,56.59722222222222,5.641773700714111
175,26,51,176,61.458333333333336,9.530173540115356
176,26,51,201,56.25,7.619548320770264
177,26,51,226,57.638888888888886,6.245195388793945
178,26,51,251,26.041666666666668,3.5260989665985107
179,26,51,276,55.208333333333336,4.689129829406738
180,26,76,1,33.68055555555556,5.994698762893677
181,26,76,26,51.736111111111114,5.323501825332642
182,26,76,51,60.763888888888886,7.924881935119629
183,26,76,76,56.59722222222222,6.784006118774414
184,26,76,101,57.291666666666664,7.423704385757446
185,26,76,126,60.763888888888886,7.2469868659973145
186,26,76,151,56.94444444444444,7.894824743270874
187,26,76,176,55.90277777777778,6.282078981399536
188,26,76,201,60.06944444444444,6.974780797958374
189,26,76,226,59.375,9.595978021621704
190,26,76,251,51.388888888888886,5.9956347942352295
191,26,76,276,30.208333333333332,3.5265953540802
192,26,101,1,36.11111111111111,6.426331043243408
193,26,101,26,54.513888888888886,6.449763774871826
194,26,101,51,56.25,6.435797691345215
195,26,101,76,55.55555555555556,7.402479410171509
196,26,101,101,54.166666666666664,4.16721510887146
197,26,101,126,55.208333333333336,6.430739402770996
198,26,101,151,54.166666666666664,4.905158519744873
199,26,101,176,60.06944444444444,6.329904794692993
200,26,101,201,53.125,6.562670469284058
201,26,101,226,30.90277777777778,3.425546169281006
202,26,101,251,32.98611111111111,3.896531105041504
203,26,101,276,57.986111111111114,6.0447235107421875
204,26,126,1,43.05555555555556,4.514922618865967
205,26,126,26,54.166666666666664,4.829030513763428
206,26,126,51,55.55555555555556,7.724184989929199
207,26,126,76,63.19444444444444,7.465752601623535
208,26,126,101,58.333333333333336,5.74685525894165
209,26,126,126,61.458333333333336,5.474009037017822
210,26,126,151,58.68055555555556,7.376553773880005
211,26,126,176,58.333333333333336,8.081983804702759
212,26,126,201,59.375,8.551674365997314
213,26,126,226,50.69444444444444,7.260695219039917
214,26,126,251,52.083333333333336,6.409606456756592
215,26,126,276,54.861111111111114,7.6372175216674805
216,26,151,1,32.29166666666667,3.955810070037842
217,26,151,26,58.333333333333336,7.526006698608398
218,26,151,51,53.125,6.593698024749756
219,26,151,76,58.68055555555556,5.255616664886475
220,26,151,101,59.72222222222222,5.963976621627808
221,26,151,126,56.59722222222222,4.9873199462890625
222,26,151,151,60.06944444444444,5.953223705291748
223,26,151,176,55.55555555555556,7.329442977905273
224,26,151,201,58.333333333333336,5.333472967147827
225,26,151,226,53.47222222222222,9.558801412582397
226,26,151,251,50.34722222222222,4.8756537437438965
227,26,151,276,54.861111111111114,8.636223316192627
228,26,176,1,39.23611111111111,5.440131664276123
229,26,176,26,51.388888888888886,7.872641563415527
230,26,176,51,55.55555555555556,5.9307520389556885
