,conv1 filters,conv2 filters,conv3 filters,accuracy,train acc,runtime
227,151,1,276,33.33333333,40.86956522,5.00521493
228,151,51,1,33.33333333,53.91304343,4.563934088
58,1,201,251,32.98611111,42.60869568,5.681330204
310,201,51,251,32.98611111,49.13043478,3.805353642
395,251,101,276,32.98611111,37.82608701,4.594530582
75,51,1,76,32.63888889,50.43478261,5.784717083
14,1,51,51,32.29166667,51.73913046,4.038000822
42,1,151,151,32.29166667,44.78260875,4.460398436
10,1,1,251,31.94444444,36.08695657,5.25044322
336,201,201,1,31.94444444,99.56521739,6.929484844
55,1,201,176,31.59722222,44.7826087,4.361586332
76,51,1,101,31.59722222,46.08695653,4.639726162
168,101,101,1,31.59722222,99.56521734,7.280068636
204,101,251,1,31.59722222,98.69565217,5.793097019
366,251,1,151,31.59722222,41.73913046,6.343506098
56,1,201,201,31.25,37.3913044,5.324321985
252,151,151,1,31.25,87.82608701,5.523737907
324,201,151,1,31.25,87.3913044,6.166829586
19,1,51,176,30.90277778,36.95652175,5.37632823
49,1,201,26,30.90277778,96.08695652,7.083837032
262,151,151,251,30.90277778,53.47826082,5.359021425
288,201,1,1,30.90277778,42.6086957,4.609266281
396,251,151,1,30.90277778,100,7.774991751
408,251,201,1,30.90277778,99.56521739,7.512984991
420,251,251,1,30.90277778,69.13043481,4.678121567
66,1,251,151,30.20833333,43.47826087,4.695470572
78,51,1,151,30.20833333,48.69565212,6.902068138
371,251,1,276,30.20833333,33.91304348,3.831396341
96,51,101,1,29.86111111,95.21739125,6.743714571
348,201,251,1,29.86111111,92.17391299,6.235996723
406,251,151,251,29.86111111,37.39130437,5.624049902
0,1,1,1,29.51388889,37.82608696,5.617874384
82,51,1,251,29.51388889,27.39130436,5.709473133
1,1,1,26,29.16666667,45.65217391,8.308304071
22,1,51,251,29.16666667,36.52173914,5.335681438
72,51,1,1,29.16666667,43.04347831,4.432832241
155,101,1,276,29.16666667,32.17391306,3.573176622
156,101,51,1,29.16666667,54.34782614,4.584293604
372,251,51,1,29.16666667,72.6086957,5.815751553
79,51,1,176,28.81944444,35.65217386,5.931926012
108,51,151,1,28.81944444,30,3.987357855
154,101,1,251,28.81944444,30.43478262,3.647518635
264,151,201,1,28.81944444,97.39130435,6.078386545
346,201,201,251,28.81944444,49.13043478,5.039718151
8,1,1,201,28.47222222,36.95652174,6.655654907
192,101,201,1,28.47222222,99.56521739,7.354952574
300,201,51,1,28.47222222,95.65217391,7.787841797
365,251,1,126,28.47222222,29.13043481,4.345785618
11,1,1,276,28.125,31.73913043,7.313382626
34,1,101,251,28.125,42.60869567,4.095004559
36,1,151,1,28.125,55.65217396,6.566321135
81,51,1,226,28.125,32.1739131,3.48940587
312,201,101,1,28.125,60.43478263,4.903359652
370,251,1,251,28.125,31.30434784,3.823711157
2,1,1,51,27.77777778,27.82608697,3.772613049
7,1,1,176,27.77777778,26.95652175,5.116176367
225,151,1,226,27.77777778,33.04347826,5.46542263
144,101,1,1,27.43055556,60.86956527,7.338187218
9,1,1,226,27.08333333,35.21739133,3.503665447
152,101,1,201,27.08333333,28.69565219,3.637929201
150,101,1,151,26.73611111,39.13043478,5.929955244
276,151,251,1,26.73611111,42.60869565,4.621492147
24,1,101,1,26.38888889,41.30434784,5.267775774
132,51,251,1,25.69444444,50.86956527,4.286912918
